bfs_nr,total_elec_per_capita_mwh_2024,household_elec_per_capita_mwh_2024,capital_avg_2022,capital_median_2022,income_avg_2022,income_median_2022,municipality,ratio_consum_to_capital_median,ratio_consum_to_capital_avg
153,3.7433666666666667,1.9418,476000.0,77000.0,66000.0,51300.0,Hombrechtikon,2.521818181818182e-05,4.079411764705883e-06
154,3.8198416666666666,1.8485416666666667,3581000.0,226000.0,173700.0,76900.0,Küsnacht (ZH),8.17938790560472e-06,5.162082286139812e-07
155,3.9137416666666667,1.6043916666666667,678000.0,126000.0,94900.0,64700.0,Männedorf,1.2733267195767195e-05,2.3663593903638152e-06
156,4.457433333333333,1.684025,1665000.0,168000.0,122200.0,70900.0,Meilen,1.0023958333333334e-05,1.0114264264264266e-06
157,4.77625,1.6851083333333332,281000.0,33000.0,61400.0,52800.0,Oetwil am See,5.106388888888888e-05,5.99682680901542e-06
158,4.7139999999999995,1.7885,912000.0,142000.0,90000.0,62000.0,Stäfa,1.2595070422535212e-05,1.961074561403509e-06
159,2.8961166666666665,1.642425,893000.0,144000.0,104800.0,67100.0,Uetikon am See,1.1405729166666667e-05,1.8392217245240762e-06
160,3.7838166666666666,1.991875,2868000.0,229000.0,171700.0,73400.0,Zumikon,8.698144104803494e-06,6.945170850767085e-07
161,3.557658333333334,1.6703416666666666,2406000.0,203000.0,162400.0,77600.0,Zollikon,8.22828407224959e-06,6.942400942089221e-07
172,5.243383333333333,1.8854,383000.0,69000.0,69900.0,58300.0,Fehraltorf,2.732463768115942e-05,4.922715404699739e-06
173,3.8896083333333333,2.4163083333333333,393000.0,90000.0,70100.0,57900.0,Hittnau,2.684787037037037e-05,6.148367260390161e-06
176,7.704358333333334,1.9147333333333334,406000.0,81000.0,72500.0,60300.0,Lindau,2.3638683127572016e-05,4.716091954022988e-06
177,5.364208333333333,1.882183333333333,440000.0,78000.0,71000.0,55000.0,Pfäffikon,2.4130555555555553e-05,4.277689393939393e-06
178,3.817325,2.2783833333333336,592000.0,123000.0,80000.0,61600.0,Russikon,1.8523441734417347e-05,3.848620495495496e-06
180,4.6139,2.4501,520000.0,104000.0,76300.0,57000.0,Weisslingen,2.3558653846153846e-05,4.711730769230769e-06
181,4.410975,2.438075,312000.0,61000.0,55900.0,49700.0,Wila,3.996844262295082e-05,7.814342948717949e-06
182,4.722941666666666,2.7565833333333334,415000.0,145000.0,67000.0,58600.0,Wildberg,1.9010919540229885e-05,6.642369477911647e-06
191,4.31455,1.3514833333333334,330000.0,44000.0,72900.0,57700.0,Dübendorf,3.07155303030303e-05,4.095404040404041e-06
192,3.377291666666667,1.790875,609000.0,102000.0,83300.0,59700.0,Egg,1.7557598039215685e-05,2.9406814449917897e-06
193,3.697525,1.4884333333333333,471000.0,68000.0,78700.0,60200.0,Fällanden,2.1888725490196077e-05,3.1601556970983722e-06
194,3.4751166666666666,1.15295,577000.0,89000.0,80700.0,59000.0,Greifensee,1.295449438202247e-05,1.9981802426343153e-06
195,3.3027416666666665,1.9571666666666667,989000.0,137000.0,103000.0,65100.0,Maur,1.4285888077858881e-05,1.9789349511290866e-06
196,5.540733333333333,1.96695,394000.0,86000.0,65300.0,55200.0,Mönchaltorf,2.2871511627906977e-05,4.992258883248731e-06
197,3.86795,1.3336583333333334,380000.0,69000.0,70600.0,57100.0,Schwerzenbach,1.932838164251208e-05,3.5096271929824564e-06
198,3.898925,1.3458833333333333,399000.0,71000.0,70300.0,55800.0,Uster,1.8956103286384975e-05,3.373141186299081e-06
199,5.045641666666667,1.2716,355000.0,52000.0,70000.0,56000.0,Volketswil,2.4453846153846156e-05,3.5819718309859157e-06
200,5.2759833333333335,1.3852416666666667,409000.0,55000.0,75300.0,58200.0,Wangen-Brüttisellen,2.518621212121212e-05,3.3868989405052976e-06
211,4.141525000000001,2.9126499999999997,334000.0,94000.0,62400.0,55100.0,Altikon,3.098563829787234e-05,8.720508982035927e-06
213,3.7214916666666666,2.3154,737000.0,164000.0,90500.0,67600.0,Brütten,1.4118292682926829e-05,3.1416553595658073e-06
214,4.376541666666667,2.7777166666666666,376000.0,104000.0,66400.0,55000.0,Dägerlen,2.67088141025641e-05,7.387544326241134e-06
215,3.4431333333333334,2.3142416666666668,857000.0,186000.0,87400.0,69900.0,Dättlikon,1.2442159498207885e-05,2.7003986775573707e-06
216,3.4781666666666666,2.2478083333333334,589000.0,160000.0,75600.0,64300.0,Dinhard,1.4048802083333333e-05,3.8163129598189024e-06
218,7.795233333333333,2.1321083333333335,386000.0,83000.0,69600.0,63500.0,Ellikon an der Thur,2.5688052208835344e-05,5.523596718480138e-06
219,4.3874,2.2970083333333333,422000.0,95000.0,67200.0,54700.0,Elsau,2.4179035087719297e-05,5.443147709320695e-06
220,3.6657833333333336,2.5230666666666663,318000.0,85000.0,62400.0,55200.0,Hagenbuch,2.9683137254901957e-05,7.934171907756812e-06
221,6.616516666666667,2.43445,697000.0,142000.0,82700.0,61900.0,Hettlingen,1.7144014084507043e-05,3.492754662840746e-06
223,3.8342000000000005,2.2018083333333336,477000.0,104000.0,78000.0,60100.0,Neftenbach,2.1171233974358976e-05,4.615950384346611e-06
224,4.64755,1.5420333333333334,252000.0,47000.0,61700.0,54900.0,Pfungen,3.280921985815603e-05,6.1191798941798945e-06
225,3.4023749999999997,2.196841666666667,432000.0,98000.0,66400.0,55900.0,Rickenbach (ZH),2.2416751700680275e-05,5.0852816358024695e-06
226,3.958175,2.8568833333333337,414000.0,149000.0,62100.0,54900.0,Schlatt (ZH),1.917371364653244e-05,6.900684380032207e-06
227,3.7256416666666663,2.0035000000000003,574000.0,126000.0,77700.0,62700.0,Seuzach,1.5900793650793655e-05,3.4904181184668993e-06
228,4.011233333333333,2.1182416666666666,279000.0,47000.0,56000.0,50000.0,Turbenthal,4.506897163120567e-05,7.59226403823178e-06
230,4.275591666666666,1.3423666666666667,297000.0,40000.0,59400.0,50000.0,Winterthur,3.355916666666667e-05,4.519753086419753e-06
231,3.2908833333333334,1.8105,274000.0,49000.0,57400.0,50200.0,Zell (ZH),3.694897959183674e-05,6.607664233576643e-06
241,3.364341666666667,2.124575,676000.0,149000.0,105000.0,76200.0,Aesch (ZH),1.4258892617449666e-05,3.1428624260355033e-06
242,3.894175,1.571625,416000.0,101000.0,78000.0,62000.0,Birmensdorf (ZH),1.5560643564356435e-05,3.7779447115384618e-06
243,4.471491666666666,1.0958666666666665,199000.0,16000.0,55700.0,47300.0,Dietikon,6.849166666666666e-05,5.506867671691792e-06
244,4.4606,1.3141,491000.0,52000.0,71900.0,55100.0,Geroldswil,2.5271153846153847e-05,2.6763747454175153e-06
245,2.08755,1.097925,373000.0,38000.0,65700.0,52800.0,Oberengstringen,2.889276315789474e-05,2.9434986595174263e-06
246,2.6339833333333336,1.8968999999999998,605000.0,96000.0,83400.0,60800.0,Oetwil an der Limmat,1.9759374999999997e-05,3.135371900826446e-06
247,6.081891666666667,1.3052416666666666,185000.0,17000.0,58900.0,52300.0,Schlieren,7.677892156862744e-05,7.0553603603603605e-06
248,3.6512,2.1205166666666666,1655000.0,291000.0,155200.0,90300.0,Uitikon,7.286998854524628e-06,1.2812789526686806e-06
249,3.154158333333333,1.6058583333333332,543000.0,92000.0,83200.0,62500.0,Unterengstringen,1.745498188405797e-05,2.957381829343155e-06
250,5.0203750000000005,1.3194166666666667,339000.0,52000.0,66600.0,55300.0,Urdorf,2.5373397435897437e-05,3.892084562438545e-06
251,3.594908333333333,1.5616333333333332,425000.0,48000.0,80100.0,56500.0,Weiningen (ZH),3.2534027777777776e-05,3.6744313725490194e-06
261,5.889733333333333,1.1815083333333334,432000.0,54000.0,76100.0,55500.0,Zürich,2.1879783950617284e-05,2.7349729938271605e-06
291,6.420533333333334,2.937825,540000.0,142000.0,74600.0,59500.0,Andelfingen,2.0688908450704225e-05,5.440416666666667e-06
292,6.04205,2.4240083333333335,566000.0,173000.0,64600.0,55000.0,Stammheim,1.401160886319846e-05,4.282700235571261e-06
293,4.041633333333333,1.7581499999999999,499000.0,79000.0,78200.0,57300.0,Wädenswil,2.225506329113924e-05,3.523346693386773e-06
294,4.0428500000000005,2.2735333333333334,397000.0,82000.0,62800.0,53200.0,Elgg,2.77260162601626e-05,5.726784214945424e-06
295,3.74945,1.5134999999999998,543000.0,86000.0,90300.0,60500.0,Horgen,1.7598837209302325e-05,2.7872928176795577e-06
296,3.5093416666666664,1.6178583333333334,349000.0,48000.0,62000.0,51300.0,Illnau-Effretikon,3.3705381944444446e-05,4.635697230181471e-06
297,8.592991666666668,2.44945,363000.0,70000.0,59100.0,49900.0,Bauma,3.4992142857142856e-05,6.747796143250689e-06
298,3.4957166666666666,2.0529916666666668,480000.0,145000.0,73800.0,61000.0,Wiesendangen,1.4158563218390805e-05,4.277065972222222e-06
