bfs_nr,total_elec_per_capita_mwh_2024,household_elec_per_capita_mwh_2024
97,6.296458333333334,1.3523083333333332
98,3.187116666666667,2.2668583333333334
99,3.7011083333333334,2.5812666666666666
100,3.5914249999999996,2.207008333333333
101,3.702125,1.932675
102,3.0091583333333336,1.85565
111,4.378808333333333,2.4750083333333333
112,5.9242333333333335,2.079975
113,3.3378083333333333,1.8727916666666669
114,4.380233333333334,2.265425
115,3.2664000000000004,1.9444416666666668
116,4.440008333333334,2.0864416666666665
117,5.705016666666666,2.043225
118,4.128466666666667,1.512975
119,4.492308333333333,2.2819416666666665
120,4.066441666666667,2.1031916666666666
121,4.831416666666667,1.6639666666666668
131,3.1888583333333336,1.2010416666666666
135,5.358108333333334,1.7053583333333335
136,2.5305916666666666,1.4217833333333332
137,2.7432,1.6092166666666667
138,3.83255,1.796025
139,4.4058166666666665,1.7572333333333334
141,3.296875,1.4562
151,3.802341666666667,1.7796666666666667
152,3.4117166666666665,1.8199833333333333
153,3.7433666666666667,1.9418
154,3.8198416666666666,1.8485416666666667
155,3.9137416666666667,1.6043916666666667
156,4.457433333333333,1.684025
157,4.77625,1.6851083333333332
158,4.7139999999999995,1.7885
159,2.8961166666666665,1.642425
160,3.7838166666666666,1.991875
161,3.557658333333334,1.6703416666666666
172,5.243383333333333,1.8854
173,3.8896083333333333,2.4163083333333333
176,7.704358333333334,1.9147333333333334
177,5.364208333333333,1.882183333333333
178,3.817325,2.2783833333333336
180,4.6139,2.4501
181,4.410975,2.438075
182,4.722941666666666,2.7565833333333334
191,4.31455,1.3514833333333334
192,3.377291666666667,1.790875
193,3.697525,1.4884333333333333
194,3.4751166666666666,1.15295
195,3.3027416666666665,1.9571666666666667
196,5.540733333333333,1.96695
197,3.86795,1.3336583333333334
198,3.898925,1.3458833333333333
199,5.045641666666667,1.2716
200,5.2759833333333335,1.3852416666666667
211,4.141525000000001,2.9126499999999997
213,3.7214916666666666,2.3154
214,4.376541666666667,2.7777166666666666
215,3.4431333333333334,2.3142416666666668
216,3.4781666666666666,2.2478083333333334
218,7.795233333333333,2.1321083333333335
219,4.3874,2.2970083333333333
220,3.6657833333333336,2.5230666666666663
221,6.616516666666667,2.43445
223,3.8342000000000005,2.2018083333333336
224,4.64755,1.5420333333333334
225,3.4023749999999997,2.196841666666667
226,3.958175,2.8568833333333337
227,3.7256416666666663,2.0035000000000003
228,4.011233333333333,2.1182416666666666
230,4.275591666666666,1.3423666666666667
231,3.2908833333333334,1.8105
241,3.364341666666667,2.124575
242,3.894175,1.571625
243,4.471491666666666,1.0958666666666665
244,4.4606,1.3141
245,2.08755,1.097925
246,2.6339833333333336,1.8968999999999998
247,6.081891666666667,1.3052416666666666
248,3.6512,2.1205166666666666
249,3.154158333333333,1.6058583333333332
250,5.0203750000000005,1.3194166666666667
251,3.594908333333333,1.5616333333333332
261,5.889733333333333,1.1815083333333334
291,6.420533333333334,2.937825
292,6.04205,2.4240083333333335
293,4.041633333333333,1.7581499999999999
294,4.0428500000000005,2.2735333333333334
295,3.74945,1.5134999999999998
296,3.5093416666666664,1.6178583333333334
297,8.592991666666668,2.44945
298,3.4957166666666666,2.0529916666666668
