bfs_nr,metric,residual,zscore
250,income_median_2022,-2135.1398533801985,-0.290522577646413
251,income_median_2022,-3347.459912054903,-0.45547961679353843
261,income_median_2022,-479.3634209773518,-0.06522565558001647
291,income_median_2022,1513.751602699318,0.20597199609026384
292,income_median_2022,-2717.1726244241145,-0.369718167879374
293,income_median_2022,-2220.078374095363,-0.3020799273631431
294,income_median_2022,-7129.209427902773,-0.9700518194611244
295,income_median_2022,948.4852941123536,0.12905777205600588
296,income_median_2022,-8757.849221236145,-1.1916563340636055
297,income_median_2022,-4222.207394347017,-0.5745040886298389
298,income_median_2022,238.13014221146295,0.032401710183553374
1,income_avg_2022,19826.599486407125,0.8057864628548609
2,income_avg_2022,-16768.500743153592,-0.6815001690263826
3,income_avg_2022,-4829.631199448137,-0.19628436251838677
4,income_avg_2022,-1452.9680447151477,-0.05905107339233028
5,income_avg_2022,9108.211479106016,0.37017308569301516
6,income_avg_2022,5618.215522105122,0.22833376022030766
7,income_avg_2022,-7897.605432201759,-0.3209720129062034
8,income_avg_2022,-12746.859759607847,-0.5180538924611462
9,income_avg_2022,1849.454919927026,0.0751649691193502
10,income_avg_2022,-12615.5378245998,-0.5127167474011506
11,income_avg_2022,-1697.032299298473,-0.0689702565858394
12,income_avg_2022,3445.428263596521,0.14002801919950958
13,income_avg_2022,12378.553430051412,0.5030853016675606
14,income_avg_2022,26031.389772729453,1.057959611407119
22,income_avg_2022,-723.4239082525455,-0.02940116849463304
23,income_avg_2022,39288.566583100444,1.5967536500315485
24,income_avg_2022,-5234.109281458514,-0.21272303437580278
25,income_avg_2022,-2367.879615444137,-0.0962346236480425
26,income_avg_2022,-5625.819736998892,-0.22864280834660114
27,income_avg_2022,-15945.05084017977,-0.6480337753006022
28,income_avg_2022,-3965.478878698108,-0.16116375384404624
29,income_avg_2022,2183.7818906607135,0.08875258142619956
31,income_avg_2022,-13898.496594306082,-0.5648583569463983
33,income_avg_2022,-3506.808710205267,-0.14252262413643924
34,income_avg_2022,7197.476892580875,0.2925176075064457
35,income_avg_2022,351.0413553035469,0.014266913103265503
37,income_avg_2022,-15084.402751589267,-0.6130555845350303
38,income_avg_2022,-10547.902436721968,-0.4286845558589824
39,income_avg_2022,-10467.869320678801,-0.42543187495765644
40,income_avg_2022,-12465.627681172846,-0.5066241461812144
41,income_avg_2022,-11282.264626557619,-0.4585302745767942
43,income_avg_2022,-7382.347610513665,-0.3000310654743961
51,income_avg_2022,-7328.064381233911,-0.29782490342710904
52,income_avg_2022,-13588.122738837614,-0.5522442396676372
53,income_avg_2022,-17311.028968334373,-0.703549431678158
54,income_avg_2022,-5214.055921245294,-0.21190803197432476
55,income_avg_2022,-5340.148729976674,-0.21703265651766876
56,income_avg_2022,-19429.862648054754,-0.789662408203969
57,income_avg_2022,-6505.283047767094,-0.2643856814943834
58,income_avg_2022,-15545.101938574866,-0.6317791769783913
59,income_avg_2022,-14572.380665402336,-0.5922461428546758
60,income_avg_2022,-18574.517083108396,-0.7548997209479299
61,income_avg_2022,1150.8473009058944,0.046772376499499724
62,income_avg_2022,-6390.540485916965,-0.259722350139175
63,income_avg_2022,-1237.6612475863803,-0.05030064180137884
64,income_avg_2022,4107.604988408173,0.16693999879725194
65,income_avg_2022,-7049.153834574929,-0.28648950811641355
66,income_avg_2022,-9563.388817483617,-0.388672260890176
67,income_avg_2022,-9803.705065769958,-0.39843911878257254
68,income_avg_2022,-22570.93769845186,-0.9173209991870767
69,income_avg_2022,9822.229401158533,0.3991919790347668
70,income_avg_2022,-13236.416180550557,-0.5379502915925133
71,income_avg_2022,7532.217448382042,0.30612202860841103
72,income_avg_2022,21790.121139740513,0.8855872965209246
81,income_avg_2022,-7378.841177727023,-0.2998885581284277
82,income_avg_2022,26857.867427387464,1.0915490580710332
83,income_avg_2022,-16727.41171583964,-0.6798302416137592
84,income_avg_2022,-2761.118151132425,-0.11221650137486752
85,income_avg_2022,-10615.7839498049,-0.43144337510873987
86,income_avg_2022,-5537.8889270430955,-0.22506915183637502
87,income_avg_2022,4346.714791513892,0.17665782472148936
88,income_avg_2022,19753.481638964207,0.8028148301397812
89,income_avg_2022,-17128.04554581047,-0.6961126765806588
90,income_avg_2022,-19722.510863492105,-0.8015561255577554
91,income_avg_2022,-507.3837612849602,-0.020620932328617607
92,income_avg_2022,-28993.05515669554,-1.1783266907714778
93,income_avg_2022,-9644.114829589205,-0.39195310225682267
94,income_avg_2022,4378.824693790288,0.17796282533925292
95,income_avg_2022,3748.809963143198,0.15235796346152045
96,income_avg_2022,-17938.643254285314,-0.7290567354324052
97,income_avg_2022,-8787.949806186167,-0.3571571108261711
98,income_avg_2022,-11079.829070235719,-0.45030295193397224
99,income_avg_2022,-2233.387414212586,-0.09076863361852512
100,income_avg_2022,-14937.980728601338,-0.6071047464163511
101,income_avg_2022,-12337.060093282576,-0.5013989424363712
102,income_avg_2022,-21603.39537973363,-0.877998446512481
111,income_avg_2022,-12456.342451743301,-0.5062467787872769
112,income_avg_2022,-869.8527629785094,-0.03535228426667532
113,income_avg_2022,-18768.138212721882,-0.7627688104139362
114,income_avg_2022,-22011.65443750126,-0.8945907836055149
115,income_avg_2022,-13764.390673939488,-0.5594080660231273
116,income_avg_2022,-10895.58067895667,-0.44281478637147986
117,income_avg_2022,-10492.026188708973,-0.42641365084196925
118,income_avg_2022,-23355.271445711565,-0.9491976463315046
119,income_avg_2022,-5643.020555300551,-0.22934187863079208
120,income_avg_2022,-24768.202436213614,-1.0066215462733588
121,income_avg_2022,-16456.90786639272,-0.6688365086650558
131,income_avg_2022,-2400.2031604966323,-0.09754830706877415
135,income_avg_2022,102300.3000830414,4.157656839208321
136,income_avg_2022,-2056.981407643907,-0.08359919580561219
137,income_avg_2022,24326.429213848183,0.9886671369719608
138,income_avg_2022,114.18591683002887,0.004640708362187184
139,income_avg_2022,103057.73800917885,4.188440394792468
141,income_avg_2022,22149.403311059606,0.9001891302944119
151,income_avg_2022,102173.04386503603,4.152484931748692
152,income_avg_2022,91261.57385945105,3.709024376327923
153,income_avg_2022,-15160.816074718226,-0.616161150943495
154,income_avg_2022,92728.78201671905,3.7686541919262724
155,income_avg_2022,14000.127398572105,0.5689888043457495
156,income_avg_2022,43572.92468736482,1.7708771937489465
157,income_avg_2022,-15951.129398523131,-0.6482808181699612
158,income_avg_2022,12528.762378959975,0.5091900468465389
159,income_avg_2022,19879.131261833332,0.8079214428617546
160,income_avg_2022,90763.26088038067,3.688772095896522
161,income_avg_2022,80158.67448823167,3.2577838084281185
172,income_avg_2022,-5334.140195816362,-0.21678845954928297
173,income_avg_2022,-9885.21780804651,-0.4017519341910672
176,income_avg_2022,7141.119631595058,0.2902271533104509
177,income_avg_2022,-3755.100019060803,-0.1526136019492241
178,income_avg_2022,-445.96704412177496,-0.018124853295144953
180,income_avg_2022,-747.4898790550069,-0.030379250162211924
181,income_avg_2022,-21973.739074181998,-0.8930498392535684
182,income_avg_2022,-9229.866898079476,-0.3751173672279785
191,income_avg_2022,-6712.446142357032,-0.2728051392706974
192,income_avg_2022,487.6955217361392,0.019820769047124705
193,income_avg_2022,-3208.6960868612223,-0.1304068240234915
194,income_avg_2022,-2515.663283115311,-0.1022408013045849
195,income_avg_2022,20096.74697597092,0.8167657127365145
196,income_avg_2022,-8643.804994354883,-0.35129882241196064
197,income_avg_2022,-10820.106473777196,-0.4397473873013546
198,income_avg_2022,-10981.046899445486,-0.44628827780648217
199,income_avg_2022,-6789.100042557271,-0.2759204831373411
200,income_avg_2022,-426.69134620574187,-0.017341456401821533
211,income_avg_2022,-15959.950989226432,-0.6486393425036191
213,income_avg_2022,9717.000470323212,0.39491529769937567
214,income_avg_2022,-11188.420195924875,-0.45471627854232394
215,income_avg_2022,5502.709474809075,0.22363939952810535
216,income_avg_2022,-6239.9649470078875,-0.2536027061239119
218,income_avg_2022,4875.14118981034,0.19813396533018784
219,income_avg_2022,-10943.669864265772,-0.4447692120186192
220,income_avg_2022,-18347.093776907277,-0.7456568539802385
221,income_avg_2022,13639.278791523844,0.5543233079806835
223,income_avg_2022,-2473.866781479417,-0.10054212094157135
224,income_avg_2022,-16343.840417666783,-0.6642412567341658
225,income_avg_2022,-15806.444763856693,-0.6424005904447153
